,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
1635,Niigata,"28 August, 2011",Niigata,Neya Fishing Port,"26 August, 2011",____,"Japanese rock oyster
(Crassostrea nippona )",Not detectable,,Not detectable,,"Niigata Prefecture Radiation
Monitoring Center",ND,ND,s,m,
514,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Oarai Town","7 June, 2011",____,"Japanese rock oyster
(Crassostrea nippona)",45,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",45,ND,s,m,
1821,Miyagi,"7 September,2011",Miyagi,Shore of Yuriage,"29 August, 2011","_________
__","Surf clam
(Pseudocardium sachalinense)",,4,Not detectable,,Tohoku University,4,ND,s,m,
363,Ibaraki,"24 May, 2011",Ibaraki,"Shore of
Kitaibaraki Cit","22 May, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,290,,84,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",290,84,s,m,
364,Ibaraki,"24 May, 2011",Ibaraki,"Shore of
Kitaibaraki Cit","22 May, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,230,,65,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",230,65,s,m,
433,Miyagi,"26 May, 2011",Miyagi,"Shore of
Shichigahama","25 May, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,5.2,,2.1,Tohoku University,5.2,2.1,s,m,
457,Ibaraki,"31 May, 2011",Ibaraki,"Shore of
Hitachinaka City","27 May, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,11,,4,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",11,4,s,m,
504,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Hitachinaka City","6 June, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",28,,3,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",28,3,s,m,
515,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Oarai Town","7 June, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",22,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",22,ND,s,m,
612,Ibaraki,"15 June, 2011",Ibaraki,"Offshore
Hitachi city","14 June, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,41,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",41,ND,s,m,
661,Ibaraki,"17 June, 2011",Ibaraki,"Shore of
Hitachi City","16 June, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,51,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",51,ND,s,m,
677,Ibaraki,"21 June, 2011",Ibaraki,"Shore of
Hitachi City","20 June, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,41,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",41,ND,s,m,
944,Ibaraki,"7 July, 2011",Ibaraki,"Offshore
Hitachinaka city","5 July, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,23,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",23,ND,s,m,
958,Ibaraki,"12 July, 2011",Ibaraki,"Shore of
Hitachinaka city","11 July, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,28,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",28,ND,s,m,
959,Ibaraki,"12 July, 2011",Ibaraki,"Shore of
Oarai town","11 July, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,24,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",24,ND,s,m,
1348,Ibaraki,"5 August, 2011",Ibaraki,"Shore of
Hitachinaka City","3 August, 2011",_____,"Ezo abalone
(Haliotis discus hannai)",,21,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",21,ND,s,m,
1905,Ibaraki,"13 September,2011",Ibaraki,"Shore of
Kita-ibaraki City","11 September,2011",_____,"Ezo abalone
(Haliotis discus hannai)",,16,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",16,ND,s,m,
1906,Ibaraki,"13 September,2011",Ibaraki,"Shore of
Hitachi City","12 September,2011",_____,"Ezo abalone
(Haliotis discus hannai)",,12,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",12,ND,s,m,
1907,Ibaraki,"13 September,2011",Ibaraki,"Shore of
Hitachi City","9 September,2011",_____,"Ezo abalone
(Haliotis discus hannai)",,11,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",11,ND,s,m,
1298,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",______,"Andrea cuttlefish
(Sepia andreana)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
