"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
4744,Hokkaido,"12 December,2011",Hokkaido,"Offshore
Urakawa Town","7 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.52,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.52,ND,s,f,
4772,Miyagi,"15 December,2011",Miyagi,"Offshore
Miyagi","6 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,3.8,Not detectable,,Japan Chemical Analysis Center,3.8,ND,s,f,
4842,Hokkaido,"21 December,2011",Hokkaido,"Offshore
Muroran City","12 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.68,Not detectable,,Private inspection facility,0.68,ND,s,f,
4861,Ibaraki,"20 December,2011",Ibaraki,"Offshore
Kashima City","12 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,4,Not detectable,,Japan Chemical Analysis Center,4,ND,s,f,
4909,Fukushima,"21 December,2011",Fukushima,Tomioka Town,"15 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
4910,Fukushima,"21 December,2011",Fukushima,Naraha Town,"15 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,97,Not detectable,,"Fukushima Agricultural Technology
Centre",97,ND,s,f,
4942,Hokkaido,"21 December,2011",Hokkaido,"Offshore
Urakawa Town","14 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
4969,Aomori,"20 December,2011",Aomori,Offshore Higashi-dori Village,"14 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.53,Not detectable,,Japan Chemical Analysis Center,0.53,ND,s,f,
4985,Iwate,"22 December,2011",Iwate,"Offshore
Kamaishi City","13 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,24.8,Not detectable,,Research Institute for Environmental Sciences  and Public Health of Iwate Prefecture,24.8,ND,s,f,
5059,Hokkaido,"26 December,2011",Hokkaido,"Offshore
Muroran City","18 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",0.9,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.9,ND,s,f,
5063,Hokkaido,"26 December,2011",Hokkaido,"Offshore
Kushiro City","14 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
5184,Hokkaido,"28 December,2011",Hokkaido,"Offshore
Otobe Town","22 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
5189,Hokkaido,"28 December,2011",Hokkaido,"Offshore
Kushiro City","20 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
5217,Hokkaido,"6 January,2012",Hokkaido,"Offshore
Urakawa Town","29 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",0.43,,Not detectable,,Japan Chemical Analysis Center,0.43,ND,s,f,
5219,Hokkaido,"6 January,2012",Hokkaido,"Offshore
Muroran City","27 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.59,Not detectable,,Japan Chemical Analysis Center,0.59,ND,s,f,
