"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
80,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Kashima city","11,April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
81,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","11,April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,3,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
82,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","11,April, 2011",______,,"Japanese dwarf squid
(Loligo japonica)",,14,,3,"National Research Institute of Fisheries
Science, Fisheries Research Agency,
Japan",,,
83,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","11,April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,2,,2,"National Research Institute of Fisheries
Science, Fisheries Research Agency,
Japan",,,
84,Kanagawa,"13,April, 2011",Kanagawa,,Shiba,"11,April, 2011",___,,"Sea cucumber
(Stich)us japonicus)",Not detectable,,,7.2,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
85,Kanagawa,"13,April, 2011",Kanagawa,,Odawara,"11,April, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
86,Kanagawa,"13,April, 2011",Kanagawa,,Odawara,"11,April, 2011",___,,"Chub mackerel
(Scomber japonicus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
87,Kanagawa,"13,April, 2011",Kanagawa,,Odawara,"11,April, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,1.8,,1.6,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
88,Kanagawa,"13,April, 2011",Kanagawa,,Kaneda,"4,April, 2011",___,,"Hijiki seaweed
(Hizikia fusiformis)",Not detectable,,,216,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
89,Ibaraki,"13,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","12,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,357,,"1,600","Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
90,Ibaraki,"13,April, 2011",Ibaraki,,"Offshore
Kashima city","13,April, 2011",_______,,"Anchovy
(Engraulis japonicus)",,13,,17,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
91,Ibaraki,"13,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","12,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,66,,397,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
92,Ibaraki,"13,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","12,April, 2011",___________,,"Conger eel (Juvenile)
_ Conger myriaster _",,12,,55,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
93,Ibaraki,"13,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","12,April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,6,,2,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
94,Ibaraki,"13,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","12,April, 2011",_____,,"Slime flounder
(Microstomus achne)",,6,,5,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
95,Fukushima,"13,April, 2011",Fukushima,,"Nishigo Village
(inland waters)","12,April, 2011",________,,"Rainbow trout (farmed)
(Oncorhynchus mykiss)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,,,
